Sample_name	Weight
DTXSID4021218	1.0
DTXSID4021268	1.0
DTXSID4021395	1.0
DTXSID4021559	1.0
DTXSID4021975	1.0
DTXSID4021977	1.0
DTXSID4022311	1.0
DTXSID4022442	1.0
DTXSID4022446	1.0
DTXSID4022525	1.0
DTXSID4022731	1.0
DTXSID4022367	1.0
DTXSID4022369	1.0
DTXSID4022999	1.0
DTXSID4023202	1.0
DTXSID4023412	1.0
DTXSID4024018	1.0
DTXSID4024270	1.0
DTXSID4024195	1.0
DTXSID4024272	1.0
DTXSID4024274	1.0
DTXSID4024276	1.0
DTXSID4026181	1.0
DTXSID4026214	1.0
DTXSID4027072	1.0
DTXSID4027282	1.0
DTXSID4027525	1.0
DTXSID4027781	1.0
DTXSID4027608	1.0
DTXSID4029698	1.0
DTXSID4031980	1.0
DTXSID4032580	1.0
DTXSID4032611	1.0
DTXSID4032613	1.0
DTXSID4034497	1.0
DTXSID4034948	1.0
DTXSID4034653	1.0
DTXSID4038922	1.0
DTXSID4040767	1.0
DTXSID4042123	1.0
DTXSID4042129	1.0
DTXSID4042206	1.0
DTXSID4042418	1.0
DTXSID4042462	1.0
DTXSID4044379	1.0
DTXSID4044161	1.0
DTXSID4044402	1.0
DTXSID4044581	1.0
DTXSID4044872	1.0
DTXSID4044589	1.0
DTXSID4047252	1.0
DTXSID4047337	1.0
DTXSID4047387	1.0
DTXSID4047381	1.0
DTXSID4048511	1.0
DTXSID4048519	1.0
DTXSID5020154	1.0
DTXSID5020283	1.0
DTXSID5020310	1.0
DTXSID5020449	1.0
DTXSID5020239	1.0
DTXSID5020576	1.0
DTXSID5020570	1.0
DTXSID5020607	1.0
DTXSID5020653	1.0
DTXSID5020819	1.0
DTXSID5021097	1.0
DTXSID5021126	1.0
DTXSID5021413	1.0
DTXSID5021590	1.0
DTXSID5021835	1.0
DTXSID5022308	1.0
DTXSID5022439	1.0
DTXSID5022510	1.0
DTXSID5023035	1.0
DTXSID5023950	1.0
DTXSID5024182	1.0
DTXSID5024394	1.0
DTXSID5024687	1.0
DTXSID5024891	1.0
DTXSID5025607	1.0
DTXSID5026251	1.0
DTXSID5026548	1.0
DTXSID5026706	1.0
DTXSID5027142	1.0
DTXSID5027308	1.0
DTXSID5027356	1.0
DTXSID5027774	1.0
DTXSID5029136	1.0
DTXSID5029265	1.0
DTXSID5032498	1.0
DTXSID5032361	1.0
DTXSID5032365	1.0
DTXSID5034723	1.0
DTXSID5034773	1.0
DTXSID5035589	1.0
DTXSID5037028	1.0
DTXSID5034981	1.0
DTXSID5037498	1.0
DTXSID5037494	1.0
DTXSID5037523	1.0
DTXSID5037739	1.0
DTXSID5038888	1.0
DTXSID5041275	1.0
DTXSID5041308	1.0
DTXSID5041306	1.0
DTXSID5041512	1.0
DTXSID5041691	1.0
DTXSID5041772	1.0
DTXSID5041728	1.0
DTXSID5041851	1.0
DTXSID5042243	1.0
DTXSID5041778	1.0
DTXSID5042249	1.0
DTXSID5044366	1.0
DTXSID5044786	1.0
DTXSID5044992	1.0
DTXSID5047160	1.0
DTXSID5047112	1.0
DTXSID5047297	1.0
DTXSID5047295	1.0
DTXSID5047249	1.0
DTXSID5047320	1.0
DTXSID5047322	1.0
DTXSID5047530	1.0
DTXSID5048182	1.0
DTXSID6020197	1.0
DTXSID6020143	1.0
DTXSID6020226	1.0
DTXSID6020561	1.0
DTXSID6020690	1.0
DTXSID6021030	1.0
DTXSID6021086	1.0
DTXSID6021244	1.0
DTXSID6021248	1.0
DTXSID6021032	1.0
DTXSID6021824	1.0
DTXSID6021959	1.0
DTXSID6022391	1.0
DTXSID6022345	1.0
DTXSID6023159	1.0
DTXSID6023733	1.0
DTXSID6023864	1.0
DTXSID6024206	1.0
DTXSID6024177	1.0
DTXSID6024123	1.0
DTXSID6024624	1.0
DTXSID6024888	1.0
DTXSID6025226	1.0
DTXSID6027131	1.0
DTXSID6027185	1.0
DTXSID6027345	1.0
DTXSID6028022	1.0
DTXSID6032354	1.0
DTXSID6032352	1.0
DTXSID6032514	1.0
DTXSID6032645	1.0
DTXSID6032562	1.0
DTXSID6034712	1.0
DTXSID6036467	1.0
DTXSID6037728	1.0
DTXSID6038877	1.0
DTXSID6040745	1.0
DTXSID6041422	1.0
DTXSID6044430	1.0
DTXSID6044642	1.0
DTXSID6044646	1.0
DTXSID6047103	1.0
DTXSID6046977	1.0
DTXSID6046979	1.0
DTXSID6047288	1.0
DTXSID6047280	1.0
DTXSID6047311	1.0
DTXSID6047315	1.0
DTXSID6047498	1.0
DTXSID6047446	1.0
DTXSID6047369	1.0
DTXSID7020182	1.0
DTXSID7020005	1.0
DTXSID7020267	1.0
DTXSID7020479	1.0
DTXSID7020685	1.0
DTXSID7020768	1.0
DTXSID7020766	1.0
DTXSID7020843	1.0
DTXSID7020845	1.0
DTXSID7021106	1.0
DTXSID7021150	1.0
DTXSID7021152	1.0
DTXSID7021029	1.0
DTXSID7021100	1.0
DTXSID7021314	1.0
DTXSID7021237	1.0
DTXSID7021316	1.0
DTXSID7021491	1.0
DTXSID7021788	1.0
DTXSID7021784	1.0
DTXSID7022411	1.0
DTXSID7022174	1.0
DTXSID7023063	1.0
DTXSID7022679	1.0
DTXSID7022598	1.0
DTXSID7023194	1.0
DTXSID7023645	1.0
DTXSID7023980	1.0
DTXSID7024035	1.0
DTXSID7024031	1.0
DTXSID7024164	1.0
DTXSID7024291	1.0
DTXSID7024160	1.0
DTXSID7024299	1.0
DTXSID7024873	1.0
DTXSID7024827	1.0
DTXSID7024245	1.0
DTXSID7024902	1.0
DTXSID7025003	1.0
DTXSID7025055	1.0
DTXSID7024538	1.0
DTXSID7025217	1.0
DTXSID7025502	1.0
DTXSID7025506	1.0
DTXSID7026946	1.0
DTXSID7027205	1.0
DTXSID7027461	1.0
DTXSID7027540	1.0
DTXSID7027756	1.0
DTXSID7028300	1.0
DTXSID7028015	1.0
DTXSID7029241	1.0
DTXSID7029871	1.0
DTXSID7029879	1.0
DTXSID7030698	1.0
DTXSID7032004	1.0
DTXSID7032345	1.0
DTXSID7034250	1.0
DTXSID7034252	1.0
DTXSID7034674	1.0
DTXSID7034676	1.0
DTXSID7034961	1.0
DTXSID7037555	1.0
DTXSID7037715	1.0
DTXSID7037717	1.0
DTXSID7037553	1.0
DTXSID7038864	1.0
DTXSID7040283	1.0
DTXSID7040287	1.0
DTXSID7040738	1.0
DTXSID7040990	1.0
DTXSID7041629	1.0
DTXSID7041883	1.0
DTXSID7041966	1.0
DTXSID7041887	1.0
DTXSID7041889	1.0
DTXSID7041910	1.0
DTXSID7042011	1.0
DTXSID7042019	1.0
DTXSID7042065	1.0
DTXSID7044639	1.0
DTXSID7044841	1.0
DTXSID7047146	1.0
DTXSID7047144	1.0
DTXSID7047304	1.0
DTXSID7047271	1.0
DTXSID7047277	1.0
DTXSID7047308	1.0
DTXSID7047512	1.0
DTXSID7047358	1.0
DTXSID7047433	1.0
DTXSID7047487	1.0
DTXSID7047649	1.0
DTXSID7048168	1.0
DTXSID8020040	1.0
DTXSID8020337	1.0
DTXSID8020620	1.0
DTXSID8020674	1.0
DTXSID8021199	1.0
DTXSID8021301	1.0
DTXSID8021640	1.0
DTXSID8021642	1.0
DTXSID8021771	1.0
DTXSID8022111	1.0
DTXSID8022161	1.0
DTXSID8022828	1.0
DTXSID8022377	1.0
DTXSID8022406	1.0
DTXSID8022959	1.0
DTXSID8023474	1.0
DTXSID8023719	1.0
DTXSID8023846	1.0
DTXSID8024072	1.0
DTXSID8024101	1.0
DTXSID8023927	1.0
DTXSID8024157	1.0
DTXSID8024109	1.0
DTXSID8024151	1.0
DTXSID8024159	1.0
DTXSID8024234	1.0
DTXSID8024315	1.0
DTXSID8024238	1.0
DTXSID8024280	1.0
DTXSID8024814	1.0
DTXSID8025595	1.0
DTXSID8026725	1.0
DTXSID8027036	1.0
DTXSID8026773	1.0
DTXSID8027454	1.0
DTXSID8027795	1.0
DTXSID8029282	1.0
DTXSID8029868	1.0
DTXSID8033562	1.0
DTXSID8033566	1.0
DTXSID8034586	1.0
DTXSID8035001	1.0
DTXSID8037752	1.0
DTXSID8040278	1.0
DTXSID8038801	1.0
DTXSID8038857	1.0
